"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUT","CPI","TOT","AGRWTH","M","1993-01",4.101749,
"AUT","CPI","TOT","AGRWTH","M","1993-02",3.716536,
"AUT","CPI","TOT","AGRWTH","M","1993-03",3.831659,
"AUT","CPI","TOT","AGRWTH","M","1993-04",3.831659,
"AUT","CPI","TOT","AGRWTH","M","1993-05",3.694427,
"AUT","CPI","TOT","AGRWTH","M","1993-06",3.588145,
"AUT","CPI","TOT","AGRWTH","M","1993-07",3.51418,
"AUT","CPI","TOT","AGRWTH","M","1993-08",3.438748,
"AUT","CPI","TOT","AGRWTH","M","1993-09",3.400309,
"AUT","CPI","TOT","AGRWTH","M","1993-10",3.467492,
"AUT","CPI","TOT","AGRWTH","M","1993-11",3.464275,
"AUT","CPI","TOT","AGRWTH","M","1993-12",3.554868,
"AUT","CPI","TOT","AGRWTH","M","1994-01",3.084911,
"AUT","CPI","TOT","AGRWTH","M","1994-02",3.127847,
"AUT","CPI","TOT","AGRWTH","M","1994-03",3.055051,
"AUT","CPI","TOT","AGRWTH","M","1994-04",2.994555,
"AUT","CPI","TOT","AGRWTH","M","1994-05",2.958937,
"AUT","CPI","TOT","AGRWTH","M","1994-06",2.861445,
"AUT","CPI","TOT","AGRWTH","M","1994-07",2.858845,
"AUT","CPI","TOT","AGRWTH","M","1994-08",3.146334,
"AUT","CPI","TOT","AGRWTH","M","1994-09",3.079222,
"AUT","CPI","TOT","AGRWTH","M","1994-10",2.932376,
"AUT","CPI","TOT","AGRWTH","M","1994-11",2.750373,
"AUT","CPI","TOT","AGRWTH","M","1994-12",2.597015,
"AUT","CPI","TOT","AGRWTH","M","1995-01",2.577778,
"AUT","CPI","TOT","AGRWTH","M","1995-02",2.414605,
"AUT","CPI","TOT","AGRWTH","M","1995-03",2.406809,
"AUT","CPI","TOT","AGRWTH","M","1995-04",2.555067,
"AUT","CPI","TOT","AGRWTH","M","1995-05",2.404693,
"AUT","CPI","TOT","AGRWTH","M","1995-06",2.635432,
"AUT","CPI","TOT","AGRWTH","M","1995-07",2.200347,
"AUT","CPI","TOT","AGRWTH","M","1995-08",2.129497,
"AUT","CPI","TOT","AGRWTH","M","1995-09",1.972159,
"AUT","CPI","TOT","AGRWTH","M","1995-10",1.889534,
"AUT","CPI","TOT","AGRWTH","M","1995-11",1.92028,
"AUT","CPI","TOT","AGRWTH","M","1995-12",1.832994,
"AUT","CPI","TOT","AGRWTH","M","1996-01",1.646447,
"AUT","CPI","TOT","AGRWTH","M","1996-02",1.638873,
"AUT","CPI","TOT","AGRWTH","M","1996-03",1.805675,
"AUT","CPI","TOT","AGRWTH","M","1996-04",1.632302,
